x,y,z
-15.054093178879146,5.223799874876258,1.099267578125
-15.129719429134681,5.1231807992803,1.2064453125
-15.180480995691228,4.99717149516724,1.2982421875
-15.207638047100161,4.84657172804515,1.32021484375
-15.21433602632866,4.672507134261318,1.4583984375
-15.2050413399202,4.476442751741104,1.52822265625
-15.18497704715498,4.260196550726789,1.6283203125
-15.159558549210441,4.025952964516424,1.8421875
-15.133829278321706,3.7762764202026915,2.004296875
-15.111896386942053,3.5141248694117397,2.082421875
-15.09628237013354,3.2429012679406455,2.3529296875
-15.087739359959023,2.966330117637323,2.496484375
-15.086339566274209,2.687901447042023,2.56875
-15.09178319969631,2.4107483418458244,2.60390625
-15.103497808820332,2.1376232730053273,2.781640625
-15.120737617435404,1.8708744248572735,3.012109375
-15.142682861741068,1.6124220232331732,3.117578125
-15.168539127563575,1.3637346635739478,3.1234375
-15.197636687572224,1.125805639044593,3.129296875
-15.229470290932476,0.8991797050407566,3.12734375
-15.263502698479574,0.6841704891797349,3.144921875
-15.299193365933093,0.48086687563308406,3.133203125
-15.336034584544587,0.28913256226875017,3.508203125
-15.373552445373313,0.10863630691763948,3.469140625
-15.411307803562018,-0.06111782635976848,3.437890625
-15.448897242612656,-0.22076022100684778,3.44375
-15.48595403866215,-0.37102546170422546,3.57265625
-15.522149124758139,-0.5127220881031764,3.6078125
-15.557192231988106,-0.6467016115420554,3.72890625
-15.590832504873898,-0.7738322845887486,3.72890625
-15.622856198530709,-0.8949912341355475,3.75625
-15.653084718101448,-1.0110560816205156,3.9046875
-15.681372921845568,-1.122895299661855,3.94375
-15.707607424227792,-1.2313585686922837,4.058984375
-15.731704899006932,-1.337267133593416,4.058984375
-15.753610382324645,-1.4414041603301415,4.098046875
-15.77329557579424,-1.5445050925850197,4.234765625
-15.790756960151034,-1.6472487553453803,4.234765625
-15.806012880188419,-1.750254753538559,4.2328125
-15.819101072733787,-1.8540847372393685,4.36953125
-15.830076561379272,-1.959243233993452,4.36953125
-15.839009501321005,-2.0661785553001693,4.396875
-15.845983024198347,-2.1752837030954537,4.492578125
-15.851091082933163,-2.2868972762347215,4.582421875
-15.854436296569057,-2.401304376975699,4.582421875
-15.856127795110622,-2.518737517461324,4.6546875
-15.85627890972927,-2.6393782014663443,4.71328125
-15.855004534011293,-2.7633618854534645,4.82265625
-15.852419861147368,-2.890781542225534,4.8578125
-15.848639355734758,-3.0216907903671926,4.8578125
-15.84377562730319,-3.1561073175982046,4.97890625
-15.837938303840701,-3.29401630412676,5.21328125
-15.831232905319478,-3.43537384600281,5.209375
-15.823759717221737,-3.580110378471405,5.2171875
-15.815612664065537,-3.7281340993260033,5.33046875
-15.806878100174815,-3.879334760991006,5.3578125
-15.797633773772963,-4.0335885032444505,5.26796875
-15.787949112675218,-4.190760122957168,5.2484375
-15.777885470590668,-4.350704984301423,5.30703125
-15.767496269397057,-4.513271157671883,5.33046875
-15.756827141415574,-4.678301558606461,5.3382812500000005
-15.745916071685588,-4.845636086707209,5.35390625
-15.734793540239476,-5.0151137645612,5.35390625
-15.723482664377375,-5.186574876661398,5.48671875
-15.711999357799908,-5.359863287059076,5.48671875
-15.700352885805835,-5.534828609751019,5.6429687500000005
-15.688546849851377,-5.711325982897686,5.646875
-15.676579949798928,-5.889215907336856,5.75625
-15.66444670118615,-6.068364284984658,5.95546875
-15.652138152495084,-6.248642457236741,5.9046875
-15.639642602421233,-6.4299272433693435,6.1234375000000005
-15.626946317142686,-6.61210097894043,6.10390625
-15.614034247589183,-6.7950515541907945,6.24453125
-15.60089083191744,-6.978672458108937,6.4203125
-15.587501088702048,-7.162862192645695,6.4398437500000005
-15.57385115586701,-7.347522720917437,6.6
-15.559928671519422,-7.532558387231001,6.71328125
-15.545723195108,-7.717874952939514,6.725
-15.531226628581557,-7.90337863229822,6.9046875
-15.516433637547532,-8.08897512832033,6.8968750000000005
-15.501342072430521,-8.274568668632867,7.06484375
-15.485953389630737,-8.460061041332503,7.0921875
-15.470273138123913,-8.645350506273573,7.2484375000000005
-15.45431144170999,-8.830330183307789,7.1390625
-15.438082709444206,-9.014887314593565,7.08828125
-15.421605371197002,-9.198903057635723,7.10390625
-15.404901681603342,-9.382252259135214,7.10390625
-15.387997524011949,-9.564803228838898,7.1
-15.370922214434607,-9.746417513389247,7.1
-15.353708305495454,-9.926949670174125,7.0492187500000005
-15.336391390380225,-10.106247041176506,7.05703125
-15.319009896905502,-10.284149378267,7.053125
-15.301604678614943,-10.460488416430735,7.04140625
-15.284218384657333,-10.635089335117737,7.021875
-15.266894925735974,-10.807772458231504,7.01015625
-15.249678960082502,-10.978354834630764,7.01015625
-15.232615379430666,-11.146651818631241,6.99453125
-15.215748794990109,-11.31247865050738,7.01015625
-15.19912302342017,-11.47565203699412,6.9828125
-15.182780572803658,-11.635991731788634,6.9906250000000005
-15.166762070872085,-11.793322025031918,7.29140625
-15.15110553328569,-11.947473611363534,6.9906250000000005
-15.135845972466022,-12.098287116310996,6.98671875
-15.121014988045047,-12.245616368333689,7.01015625
-15.10664031372188,-12.389331516554817,7.0140625000000005
-15.092745364119466,-12.529322148493268,7.01796875
-15.079348781641315,-12.665500407795545,7.01796875
-15.066463983328202,-12.797804111967688,7.01796875
-15.054098707714882,-12.926199870107144,7.01796875
